
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell: 5769      0.00      0.00   1000.00 5783    0 5770    0  plain   wall  plain   wall
Object:   OBJ00001   5769      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00002   5769      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00003   5769      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00004   5769      drt   -50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00005   5769      d3s   -50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00006   5769      crt   -50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00007   5769      cBt    50.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00008   5769      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00009   5769      c3t   -50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00010   5769      drt    50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00011   5769      drt    50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00012   5769      crs   -50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00013   5769      crs   -50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00014   5769      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00015   5769      cBs    50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00016   5769      VBm    10.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00017   5769      cBs    50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00018   5769      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00019   5769      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00020   5769      cBt    50.00      flora     0.10     0.10                 cyan       bush       tiny             
Cell: 5770   1000.00      0.00    885.68 5784    0 2086 5769  plain   wall  plain  plain
Object:   OBJ00021   5770      crs    50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00022   5770      drt    50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00023   5770      crs    50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00024   5770      VBs    10.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00025   5770      VBm    10.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00026   5770      d3t   -50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00027   5770      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00028   5770      VBm    10.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00029   5770      cBm    50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00030   5770      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00031   5770      drt    50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00032   5770      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00033   5770      dBt    50.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00034   5770      crs    50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00035   5770      c3t   -50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00036   5770      drt   -50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00037   5770      d3t   -50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00038   5770      drm    50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00039   5770      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00040   5770      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Cell: 2086   2000.00      0.00   1000.00 2105    0 2087 5770  plain   wall  plain  plain
Object:   OBJ00041   2086      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00042   2086      crs   -50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00043   2086      VBm    10.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00044   2086      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00045   2086      crs    50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00046   2086      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00047   2086      VBs    10.00      flora     1.00     1.00            olivedrab       bush      small             
