
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell: 1280      0.00      0.00    305.40 1300    0 1281    0  rocks   wall  plain   wall
Object:   OBJ00001   1280      crm   -50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00002   1280      V3t    10.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00003   1280      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00004   1280      c3m    10.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00005   1280      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00006   1280      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00007   1280      d3s    50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00008   1280      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00009   1280      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00010   1280      c3m    10.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00011   1280      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00012   1280      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00013   1280      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00014   1280      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00015   1280      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00016   1280      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00017   1280      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00018   1280      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00019   1280      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00020   1280      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Cell: 1281   1000.00      0.00    316.70 1301    0 1282 1280  rocks   wall  plain  plain
Object:   OBJ00021   1281      Vrt    10.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00022   1281      d3t    10.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00023   1281      c3s    10.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00024   1281      V3t    10.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00025   1281      d3m    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00026   1281      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00027   1281      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00028   1281      crm   -50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00029   1281      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00030   1281      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00031   1281      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00032   1281      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00033   1281      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00034   1281      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00035   1281      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00036   1281      V3m    10.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00037   1281      V3m    10.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00038   1281      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00039   1281      Vrt    10.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00040   1281      cBm    50.00      flora     5.00    10.00                 cyan       bush     medium             
Cell: 1282   2000.00      0.00    371.57 1302    0 1283 1281  plain   wall  plain  plain
Object:   OBJ00041   1282      V3s    50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00042   1282      crm   -50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00043   1282      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00044   1282      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00045   1282      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00046   1282      Vrt    10.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00047   1282      VBt   -50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00048   1282      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00049   1282      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00050   1282      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00051   1282      V3s    10.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00052   1282      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00053   1282      VBt   -50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00054   1282      crs   -50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00055   1282      Vrt    10.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00056   1282      VBt    50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00057   1282      drt    50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
