
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell: 2306      0.00      0.00    652.00 2323    0 1827    0    mud   wall    mud   wall
Object:   OBJ00001   2306      c3s    10.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00002   2306      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00003   2306      c3s    10.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00004   2306      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00005   2306      Vrm    50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00006   2306      crs    50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00007   2306      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00008   2306      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00009   2306      VBt    10.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00010   2306      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00011   2306      VBt    50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00012   2306      c3s    50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00013   2306      cBt    50.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00014   2306      c3t    10.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00015   2306      cBt    10.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00016   2306      d3t    10.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00017   2306      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00018   2306      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00019   2306      VBt    50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00020   2306      c3t    10.00      fauna     0.10     0.10                 cyan     triped       tiny             
Cell: 1827   1000.00      0.00    172.25 1844    0 1313 2306    mud   wall    mud    mud
Object:   OBJ00021   1827      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00022   1827      VBs    50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00023   1827      c3t    10.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00024   1827      V3t    10.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00025   1827      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00026   1827      c3s    10.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00027   1827      VBt    50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00028   1827      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00029   1827      dBt    10.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00030   1827      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00031   1827      drm    50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00032   1827      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00033   1827      cBt    10.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00034   1827      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00035   1827      c3t    50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00036   1827      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00037   1827      V3s    10.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00038   1827      d3s    10.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00039   1827      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00040   1827      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Cell: 1313   2000.00      0.00    272.86 1324    0 1314 1827  plain   wall    mud    mud
Object:   OBJ00041   1313      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00042   1313      V3t    50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00043   1313      c3t    10.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00044   1313      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00045   1313      d3t    10.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00046   1313      c3t    50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00047   1313      Vrm    50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00048   1313      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00049   1313      dBm    10.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00050   1313      c3s    10.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00051   1313      c3t    10.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00052   1313      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00053   1313      c3s    10.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00054   1313      crs    50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00055   1313      drt    50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00056   1313      V3t    10.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00057   1313      c3t    50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00058   1313      VBt    10.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00059   1313      cBt    10.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00060   1313      drs    10.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Cell: 1314   3000.00      0.00    277.58 1325    0 1315 1313    mud   wall    mud    mud
Object:   OBJ00061   1314      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00062   1314      VBt    10.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00063   1314      c3t    50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00064   1314      VBt    50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00065   1314      c3s    10.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00066   1314      VBt    10.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00067   1314      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00068   1314      d3s    10.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00069   1314      VBs    10.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00070   1314      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00071   1314      cBt    50.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00072   1314      c3t    50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00073   1314      cBt    50.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00074   1314      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00075   1314      c3t    50.00      fauna     0.10     0.10                 cyan     triped       tiny             
Object:   OBJ00076   1314      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00077   1314      dBt    10.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00078   1314      V3m    50.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00079   1314      V3m    10.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00080   1314      cBt    50.00      flora     0.10     0.10                 cyan       bush       tiny             
Cell: 1315   4000.00      0.00    112.73 1326    0 1316 1314    mud   wall  plain    mud
Object:   OBJ00081   1315      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00082   1315      crt    50.00    mineral     0.10     0.10                 cyan       rock       tiny             
